title,year,released,spotify,apple_music,bandcamp,youtube,soundcloud,about
i hope this feeling doesn't last ,2019,TRUE,https://open.spotify.com/track/08RWnzMJcEhU3YwX5mrvo0?si=fb9fc4bc1426452a,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
i'll believe it,2019,TRUE,https://open.spotify.com/track/6WxvrEMECVhYBQ9uQLE4gJ?si=e26a9a21012f4896,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
glue,2020,TRUE,https://open.spotify.com/track/3xde9RhE5MZZ1CPsGK91NJ?si=a4239ac692e14ed1,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
enjoy the view,2020,TRUE,https://open.spotify.com/track/0sZ7lrCtISqQXfuj42DCmw?si=fb8b3fbb295e4f89,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
what i've realised,2020,TRUE,https://open.spotify.com/track/0nqUMZS1ZMTQgXIj3lm6EA?si=932d771b8a6346ed,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
lately,2020,TRUE,https://open.spotify.com/track/3NRGx1nSyShMH7VA93aUA5?si=8683599ef6c14636,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
aftermath,2020,TRUE,https://open.spotify.com/track/50gamP8lr8vcPQrEFoh6m3?si=49e4b25de5ee4335,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
radiators,2020,TRUE,https://open.spotify.com/track/4b6TmgQYUeRm7wApFYA0Ga?si=5e1de48735ca4824,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
about you,2020,TRUE,https://open.spotify.com/track/3ICbKR7XP09PB5HCtyNW9p?si=14b7b05cdb064cb0,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
final words,2020,TRUE,https://open.spotify.com/track/0TMLuYyDqW7WQvhIrjagcw?si=d70f63608e9b4c53,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
the vomit song,2020,TRUE,https://open.spotify.com/track/7iFMPCsC02AVKxy4IoAfYm?si=41d065907b1545e6,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
wasted time,2020,TRUE,https://open.spotify.com/track/3OFRtJcL2xY2MFXwsD34Vj?si=0d6a32b92145457b,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
shooting stars,2020,TRUE,https://open.spotify.com/track/7x4v1MNc5k6sqx7XZYjLSx?si=115e1806011a40c4,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
bones,2020,TRUE,https://open.spotify.com/track/16rgq6DOmdElMSrHrM2mSZ?si=b0f2deabb494485c,https://music.apple.com/au/artist/georgia-marley/1469760632,https://georgiamarley.bandcamp.com/music,https://www.youtube.com/channel/UCKUQOq4PMrS9caBTs-p6_ng,https://soundcloud.com/georgia-marley-music,placeholder
kissing in public,,FALSE,,,,,,placeholder
love letter,,FALSE,,,,,,placeholder
retrospect,,FALSE,,,,,,placeholder
shivers,,FALSE,,,,,,placeholder
